"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 07:09:50 GMT 2024","Fri Jun 14 07:09:50 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 07:09:50 GMT 2024","Fri Jun 14 07:09:50 GMT 2024","12","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 07:09:49 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","20","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 07:09:58 GMT 2024","Fri Jun 14 07:09:58 GMT 2024","678","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:09:47 GMT 2024","Fri Jun 14 07:09:48 GMT 2024","810","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 07:10:09 GMT 2024","Fri Jun 14 07:10:10 GMT 2024","859","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 07:09:49 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","10","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 07:09:48 GMT 2024","Fri Jun 14 07:09:48 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 07:10:10 GMT 2024","Fri Jun 14 07:10:10 GMT 2024","51","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 07:09:49 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","343","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 07:10:06 GMT 2024","Fri Jun 14 07:10:07 GMT 2024","686","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:09:48 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 07:09:49 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 07:10:07 GMT 2024","Fri Jun 14 07:10:08 GMT 2024","690","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:09:49 GMT 2024","Fri Jun 14 07:09:49 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 07:09:56 GMT 2024","Fri Jun 14 07:09:57 GMT 2024","891","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:10:05 GMT 2024","Fri Jun 14 07:10:05 GMT 2024","47","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 07:10:02 GMT 2024","Fri Jun 14 07:10:04 GMT 2024","2486","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 07:10:00 GMT 2024","Fri Jun 14 07:10:00 GMT 2024","675","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 07:09:50 GMT 2024","Fri Jun 14 07:09:50 GMT 2024","44","tests.api","test_get_users","","","","test_successful_get_users",""
